Ticker	Report Date	Shares Outstanding	Act	Est	Surp
RJF US Equity	01/23/2019 (PM)	147300000	1.79	1.719	4.15%
ROL US Equity	01/23/2019 (AM)	327316000	0.155	0.168	-7.62%
SLG US Equity	01/23/2019 (PM)	84156000	1.61	1.611	-0.03%
SYF US Equity	01/23/2019 (AM)	720900000	1.09	0.928	17.49%
TEL US Equity	01/23/2019 (AM)	342000000	1.29	1.279	0.84%
TXN US Equity	01/23/2019 (PM)	970000000	1.27	1.234	2.90%
URI US Equity	01/23/2019 (PM)	81500000	4.85	4.844	0.12%
UTX US Equity	01/23/2019 (AM)	831000000	1.95	1.529	27.50%
VAR US Equity	01/23/2019 (PM)	92000000	1.06	1.084	-2.25%
WAT US Equity	01/23/2019 (AM)	75345000	2.87	2.64	8.71%
XLNX US Equity	01/23/2019 (PM)	256374000	0.93	0.844	10.19%
COF US Equity	01/22/2019 (PM)	472700000	1.87	2.388	-21.70%
FITB US Equity	01/22/2019 (AM)	662966000	0.69	0.664	3.97%
HAL US Equity	01/22/2019 (AM)	873000000	0.41	0.368	11.46%
IBM US Equity	01/22/2019 (PM)	905200000	4.87	4.815	1.14%
JNJ US Equity	01/22/2019 (AM)	2724000000	1.97	1.951	0.96%
PLD US Equity	01/22/2019 (AM)	654579000	0.8	0.791	1.19%
SWK US Equity	01/22/2019 (AM)	147582000	2.11	2.105	0.24%
TRV US Equity	01/22/2019 (AM)	266000000	2.13	2.084	2.20%
ZION US Equity	01/22/2019 (PM)	199048000	1.06	1.052	0.80%
CFG US Equity	01/18/2019 (AM)	469100000	0.98	0.945	3.73%
KSU US Equity	01/18/2019 (AM)	101516000	1.56	1.534	1.69%
RF US Equity	01/18/2019 (AM)	1043000000	0.38	0.383	-0.73%
SLB US Equity	01/18/2019 (AM)	1392000000	0.36	0.358	0.68%
STT US Equity	01/18/2019 (AM)	383651000	1.68	1.673	0.44%
VFC US Equity	01/18/2019 (AM)	399767000	1.31	1.087	20.49%
AXP US Equity	01/17/2019 (AM)	852000000	1.738	1.798	-3.34%
BBT US Equity	01/17/2019 (AM)	775402000	1.05	1.045	0.44%
FAST US Equity	01/17/2019 (AM)	572600000	0.3	0.301	-0.05%
JBHT US Equity	01/17/2019 (PM)	109940000	1.77	1.483	19.34%
KEY US Equity	01/17/2019 (AM)	1030417000	0.48	0.473	1.41%
MS US Equity	01/17/2019 (AM)	1705000000	0.73	0.891	-18.06%
MTB US Equity	01/17/2019 (AM)	139838000	3.79	3.49	8.60%
NFLX US Equity	01/17/2019 (PM)	451116000	0.3	0.24	25.00%
PBCT US Equity	01/17/2019 (PM)	372830000	0.36	0.339	6.14%
PPG US Equity	01/17/2019 (AM)	239800000	1.15	1.095	4.98%
BAC US Equity	01/16/2019 (AM)	9996000000	0.708	0.632	12.15%
BK US Equity	01/16/2019 (AM)	988650000	0.99	0.927	6.77%
BLK US Equity	01/16/2019 (AM)	160450266	6.08	6.278	-3.16%
CMA US Equity	01/16/2019 (AM)	163829787	1.95	1.881	3.66%
CSX US Equity	01/16/2019 (PM)	833000000	1.01	0.994	1.63%
GS US Equity	01/16/2019 (AM)	384300000	4.83	4.529	6.64%
KMI US Equity	01/16/2019 (PM)	2248000000	0.25	0.258	-3.05%
PNC US Equity	01/16/2019 (AM)	463000000	2.676	2.784	-3.89%
SCHW US Equity	01/16/2019 (AM)	1354000000	0.654	0.637	2.55%
USB US Equity	01/16/2019 (AM)	1618000000	1.1	1.058	4.01%
DAL US Equity	01/15/2019 (AM)	683000000	1.3	1.276	1.87%
FRC US Equity	01/15/2019 (AM)	167100000	1.288	1.227	4.96%
JPM US Equity	01/15/2019 (AM)	3347300000	1.98	2.206	-10.25%
UAL US Equity	01/15/2019 (PM)	272700000	2.41	2.053	17.41%
UNH US Equity	01/15/2019 (AM)	982000000	3.28	3.209	2.21%
WFC US Equity	01/15/2019 (AM)	4700800000	1.108	1.185	-6.56%
C US Equity	01/14/2019 (AM)	2402700000	1.61	1.547	4.10%
STZ US Equity	01/09/2019 (AM)	218138000	2.37	2.062	14.96%
LW US Equity	01/04/2019 (AM)	147400000	0.8	0.722	10.85%
